Capacidad = ,6404180,
Objeto,Peso,Beneficio
Obj_1,382745,825594
Obj_2,799601,1677009
Obj_3,909247,1676628
Obj_4,729069,1523970
Obj_5,467902,943972
Obj_6,44328,97426
Obj_7,34610,69666
Obj_8,698150,1296457
Obj_9,823460,1679693
Obj_10,903959,1902996
Obj_11,853665,1844992
Obj_12,551830,1049289
Obj_13,610856,1252836
Obj_14,670702,1319836
Obj_15,488960,953277
Obj_16,951111,2067538
Obj_17,323046,675367
Obj_18,446298,853655
Obj_19,931161,1826027
Obj_20,31385,65731
Obj_21,496951,901489
Obj_22,264724,577243
Obj_23,224916,466257
Obj_24,169684,369261
